Data Type,Fiscal Year,State Spending,Average Annual Enrollment,Average Annual Enrollment Change %,Average Annual Spending per Enrollee,Average Annual Spending per Enrollee Annual Change %
Actual,FY12,4051469000,3479642.4166666665,NA,1164.334869753978,NA
Actual,FY13,9797000000,3496476.5,0.004837877378635862,2801.963633961218,1.4064929314993961
Actual,FY14,11217000000,3491534.75,-0.0014133514124862558,3212.6273410281824,0.14656282547336175
Actual,FY15,12667000000,3978222.1666666665,0.13939068390101703,3184.085621496001,-0.008884229791509822
Actual,FY16,12466000000,4590300.666666667,0.15385729462989195,2715.72624654507,-0.1470938381144658
Actual,FY17,13762000000,4402274.333333333,-0.040961659592087855,3126.1114046883195,0.15111433218474765
Actual,FY18,15962000000,4389702.25,-0.0028558155129359327,3636.2375147426,0.1631823195069855
Actual,FY19,16130000000,4374554.583333333,-0.0034507275901610357,3687.2325382460367,0.01402411786817684
Actual,FY20,17838000000,4254833,-0.027367719627836327,4192.4089617618365,0.13700693359472926
Actual,FY21,17686000000,4742618.083333333,0.11464259192624787,3729.1638688244225,-0.11049616036092477
Actual,FY22,19634000000,5204912,0.09747652215371837,3772.205946997759,0.011542018449005565
Actual,FY23,21104000000,5437762.583333333,0.04473669935886198,3881.007983813686,0.028843079711096148
Actual,FY24,22013000000,5292583.416666667,-0.0266983275642887,4159.216448186669,0.07168458955335634
Actual,FY25,20264000000,4554646.583333333,-0.13942847476140405,4449.082849622489,0.06969255027883815
